USER_AGENT_FRAGMENT	USER_AGENT_SOURCE	EFFECTIVE_DATETIME
SCC+INTERNET+SERVICES+-+URL+CHECK	ABCi	10/1/13 0:00
S2-CRAWLER	ABCi	9/1/12 0:00
SITE24X7	ABCi	10/1/13 0:00
MOTORICERCA-ROBOTS	ABCi	6/1/11 0:00
FLIGHTDECKREPORTSBOT	ABCi	2/1/12 0:00
COSMOS	ABCi	1/1/08 0:00
F5AGENT	ABCi	10/1/13 0:00
CHECKBOT	ABCi	1/1/08 0:00
DIFFBOT.COM	ABCi	7/1/13 0:00
DONEDRINKING	ABCi	10/1/13 0:00
ARGCLRINT	ABCi	10/1/13 0:00
CRESCENT	ABCi	1/1/08 0:00
MJ12BOT/V1.	ABCi	1/1/08 0:00
ZIPPPBOT	ABCi	10/1/13 0:00
ACOON V4	ABCi	9/1/12 0:00
SPBOT/2.1	ABCi	1/1/11 0:00
PAVUK	ABCi	1/1/08 0:00
MOZILLA/5.0 (COMPATIBLE; MSIE 5.0)	ABCi	1/1/08 0:00
HERITRIX/1	ABCi	1/1/11 0:00
PICTUREDIALER	ABCi	10/1/13 0:00
MAGENTANEWS	ABCi	10/1/13 0:00
OMNIEXPLORER_BOT/6.47	ABCi	1/1/08 0:00
TO-NIGHT-BOT	ABCi	7/1/11 0:00
MACREPORT	ABCi	10/1/13 0:00
MISSIGUA LOCATOR 1.9	ABCi	1/1/08 0:00
FEEDCONSUMER	ABCi	7/1/13 0:00
STUFFNZ	ABCi	10/1/13 0:00
NUTCH	ABCi	2/1/12 0:00
SEEKER.LOOKSEEK.COM	ABCi	1/1/08 0:00
TITUS DIRECT	ABCi	10/1/13 0:00
WEB BOT	ABCi	1/1/08 0:00
SPBOT/2.0.2	ABCi	9/7/10 0:00
DAUMOA	ABCi	10/1/13 0:00
DEVSOFT	ABCi	1/1/08 0:00
DOWNLOAD+NINJA	ABCi	10/1/13 0:00
AOL_CAP	ABCi	10/1/13 0:00
NEW/0.1LIBWWW	ABCi	10/1/13 0:00
PERMAN+SURFER	ABCi	10/1/13 0:00
ARANHA	ABCi	1/1/08 0:00
WEBMASTERCOFFEE/0.7	ABCi	1/1/11 0:00
NLWATCHDOG 1.0	ABCi	2/7/10 0:00
ZOOKABOT	ABCi	2/1/12 0:00
WHISTLEBLOWER	ABCi	10/1/13 0:00
IDEARE	ABCi	10/1/13 0:00
YAHOO PIPES	ABCi	1/1/11 0:00
KULTURARW	ABCi	10/1/13 0:00
INNOVANTAGEBOT	ABCi	10/1/13 0:00
ALADDINO	ABCi	10/1/13 0:00
NLCRAWLER/1.0	ABCi	12/1/12 0:00
AGENTNAME	ABCi	1/1/08 0:00
WSANALYZER/1.0	ABCi	12/1/12 0:00
WEBINATOR	ABCi	1/1/08 0:00
SCRAPY/	ABCi	10/1/13 0:00
NEWSGATOR/2.0	ABCi	1/1/08 0:00
MOZILLA/4.0 (COMPATIBLE; MSIE 7.0; WINDOWS NT 5.0; T312461; ADR)	ABCi	4/1/11 0:00
GOOGLE-HTTP-JAVA-CLIENT	ABCi	10/1/13 0:00
SITEVIGIL	ABCi	10/1/13 0:00
ANARCHIECRAWLER	ABCi	1/1/08 0:00
SPHERE SCOUT&V4.0 (BETA) - SCOUT AT SPHERE DOT COM	ABCi	1/1/08 0:00
INFOSEEK	ABCi	1/1/08 0:00
SWOOGLEBOT	ABCi	2/1/12 0:00
UKONLINE	ABCi	10/1/13 0:00
AM_WEB_FEED_READER	ABCi	7/1/13 0:00
TWEETMEMEBOT	ABCi	7/1/13 0:00
SQUID+CACHE	ABCi	10/1/13 0:00
ENEWS CREATOR	ABCi	1/1/08 0:00
LWP	SAS	1/1/98 0:00
MSNPTC	ABCi	10/1/13 0:00
WATZNEW	ABCi	1/1/08 0:00
PHP_FEEDYES.COM	ABCi	1/1/08 0:00
TEXTMINER	ABCi	1/1/08 0:00
INFONAVIROBOT	ABCi	1/1/08 0:00
ICHIRO/2.0 (HTTP://HELP.GOO.NE.JP/DOOR/CRAWLER.HTML)	ABCi	1/1/08 0:00
SNAPBOT	ABCi	10/1/13 0:00
PEEW/1.0	ABCi	1/1/11 0:00
CHECKURL	ABCi	1/1/08 0:00
FAVORG	ABCi	1/1/08 0:00
MAG-NET	ABCi	1/1/08 0:00
PLUCKER	ABCi	1/1/08 0:00
MAZINGO	ABCi	1/1/08 0:00
MOREOVERBOT	ABCi	10/1/13 0:00
WEBFERRET	ABCi	1/1/08 0:00
SITESUCKER	ABCi	2/1/12 0:00
DIRECT HIT GRABBER	ABCi	1/1/08 0:00
ISENSE+BOT	ABCi	10/1/13 0:00
WESEE:ADS/	ABCi	10/1/13 0:00
SIGHTUPBOT	ABCi	10/1/13 0:00
WEBPIX 1.0 (WWW.NETWU.COM)	ABCi	1/1/08 0:00
EVENTMACHINE HTTPCLIENT	ABCi	1/1/11 0:00
SUNDOH SEARCH	ABCi	1/1/08 0:00
WEBSITEPULSE CHECKER	ABCi	1/1/08 0:00
BLOGLINES	ABCi	10/1/13 0:00
YAHOOFEEDSEEKER	ABCi	2/1/11 0:00
EUROPARCHIVE	ABCi	10/1/13 0:00
LYCOS_SPIDER	SAS	1/1/98 0:00
BUMBLEBEE	ABCi	1/1/08 0:00
CITESEERXBOT	ABCi	10/1/13 0:00
CHECK_HTTP/1.79	ABCi	1/1/08 0:00
WANDERER	ABCi	1/1/08 0:00
MAGPIE-CRAWLER/1.1	ABCi	1/1/11 0:00
VNET	ABCi	1/1/08 0:00
ROBOPOST	ABCi	1/1/08 0:00
WEBSTRIPPER	ABCi	1/1/08 0:00
TURNITINBOT	ABCi	1/1/08 0:00
FLY	ABCi	1/1/08 0:00
GOOBLOGSEARCH/2.0	ABCi	1/1/11 0:00
SCANALERT	ABCi	10/1/13 0:00
PINGDOM	ABCi	10/1/13 0:00
D1GARABICENGINE	ABCi	10/1/13 0:00
DIFFBOT	ABCi	7/1/13 0:00
EXCALIBUR INTERNET SPIDER	ABCi	1/1/08 0:00
SITETECH-ROVER	ABCi	1/1/08 0:00
BIRUBOT/1.0	ABCi	6/1/11 0:00
MJ12BOT/V2.	ABCi	1/1/08 0:00
WEBSEEKROBOT	ABCi	1/1/08 0:00
IRLBOT/3.0	ABCi	1/1/08 0:00
TINEYE/1.1	ABCi	1/1/11 0:00
HYPERROBOT	ABCi	1/1/08 0:00
IMRBOT	ABCi	12/1/12 0:00
WEBWHACKER	ABCi	1/1/08 0:00
HTTPDOWN	ABCi	1/1/08 0:00
THE INTRAFORMANT	ABCi	1/1/08 0:00
ATOMZ	ABCi	1/1/08 0:00
FEEDONFEEDS	ABCi	10/1/13 0:00
FEEDDIGEST	ABCi	10/1/13 0:00
FRONTIER	ABCi	1/1/08 0:00
BITVOUSERAGENT	ABCi	10/1/13 0:00
ADMANTX	ABCi	10/1/13 0:00
LYCOS SPIDER	ABCi	1/1/08 0:00
Y!J-BSC/1.0 CRAWLER	ABCi	12/1/12 0:00
ZYBORG	ABCi	1/1/08 0:00
MOZILLA/5.0 (COMPATIBLE; HERITRIX/1.8.0  HTTP://WWW.ACCELOBOT.COM)	ABCi	1/1/08 0:00
LEXIBOT	ABCi	1/1/08 0:00
CURIOUS GEORGE	ABCi	10/1/13 0:00
SWSBOT/1.4	ABCi	10/1/08 0:00
NETTRAFFIC SENSOR	ABCi	10/1/13 0:00
HITLIST	ABCi	10/1/13 0:00
BIMBO	ABCi	1/1/08 0:00
OPENURL	ABCi	1/1/08 0:00
OODLEBOT	ABCi	4/7/10 0:00
YOUR-SEARCH-BOT	ABCi	7/1/13 0:00
LESTERBOT	ABCi	2/1/12 0:00
DTS AGENT	ABCi	10/1/13 0:00
CURLINGS	ABCi	10/1/13 0:00
GOOGLEBOT	SAS	1/1/98 0:00
TESTUR1	ABCi	1/1/08 0:00
MACKSTER	ABCi	10/1/13 0:00
CRAWLERBOY PINPOINT.COM	ABCi	1/1/08 0:00
PIPLBOT	ABCi	7/1/13 0:00
HERITRIX	ABCi	10/1/13 0:00
NEARSITE	ABCi	1/1/08 0:00
MOBIPOCKET+WEBCOMPANION	ABCi	10/1/13 0:00
NOXTRUMBOT/1.0	ABCi	7/1/11 0:00
NEWSTOYOU.COM	ABCi	1/1/08 0:00
TWIKLE	ABCi	10/1/13 0:00
AMZNKASSOCBOT	ABCi	10/1/13 0:00
IRIA	ABCi	1/1/08 0:00
WEBAUTO	ABCi	1/1/08 0:00
SOCIALRADARBOT	ABCi	7/1/13 0:00
CONTENT CRAWLER	ABCi	9/1/12 0:00
ARCHIVE.ORG_BOT/1.6.0	ABCi	1/1/08 0:00
SURVEYBOT/2.3	ABCi	1/1/11 0:00
SALADSPOON/SHOPSALAD 1.0	ABCi	1/1/11 0:00
LWP::SIMPLE	ABCi	1/1/08 0:00
HGREPURL	ABCi	1/1/08 0:00
JOBBLEBOT	ABCi	10/1/13 0:00
LOTUSDISCOVERY	ABCi	1/1/08 0:00
APACHE-HTTPCLIENT/4.1.1+(JAVA+1.5)	ABCi	10/1/13 0:00
PICOSEARCH	ABCi	1/1/08 0:00
DEMOBOT	ABCi	1/1/08 0:00
FIREHUNTER	ABCi	1/1/08 0:00
GARLIKCRAWLER	ABCi	2/1/12 0:00
NEWSGATOR	ABCi	2/7/10 0:00
JUST-CRAWLER	ABCi	2/1/12 0:00
RUFUSBOT	ABCi	10/1/13 0:00
FEEDTRACE-BOT	ABCi	9/7/10 0:00
URCHIN	ABCi	10/1/13 0:00
HAPAX	ABCi	10/1/13 0:00
LOCKSS CACHE	ABCi	10/1/13 0:00
WEBNEWS+ARIANNA	ABCi	10/1/13 0:00
WEBCOMPASS	ABCi	1/1/08 0:00
EUROBOT	ABCi	7/1/11 0:00
WEBSITE+EXTRACTOR	ABCi	10/1/13 0:00
BACONS MEDIASOURCE	ABCi	10/1/13 0:00
SITECHECK.INTERNETSEER.COM	ABCi	1/1/08 0:00
SCOUTJET	ABCi	2/1/09 0:00
ILTROVATORE-SETACCIO	ABCi	1/1/08 0:00
JOEDOG	ABCi	10/1/13 0:00
PAGESENTRY	ABCi	1/1/08 0:00
VISWEB	ABCi	1/1/08 0:00
QIHOOBOT@QIHOO.NET	ABCi	1/1/08 0:00
RSSOWL/1.2.4	ABCi	10/1/08 0:00
LUMINATEBOT	ABCi	7/1/13 0:00
VOCUSBOT	ABCi	1/1/11 0:00
UPDATEPATROL	ABCi	10/1/13 0:00
LIVELAPBOT	ABCi	10/1/13 0:00
NCBOT	ABCi	10/1/13 0:00
IA_ARCHIVE	ABCi	1/1/08 0:00
CLIGOOROBOT/2	ABCi	6/1/11 0:00
KEEPALIVE	ABCi	10/1/13 0:00
MAC+FINDER	ABCi	10/1/13 0:00
HTTP_LOAD	ABCi	1/1/08 0:00
LOOKBOT	ABCi	2/1/11 0:00
MSRBOT (HTTP://RESEARCH.MICROSOFT.COM/RESEARCH/SV/MSRBOT/)	ABCi	1/1/08 0:00
ENGAGEBDR	ABCi	10/1/13 0:00
WELLS SEARCH II	ABCi	1/1/08 0:00
KHTE	SAS	1/1/08 0:00
MARVIN	ABCi	1/1/08 0:00
W3C_VALIDATOR	ABCi	10/1/13 0:00
RKG URL VERIFIER	ABCi	10/1/13 0:00
W3CROBOT	ABCi	1/1/08 0:00
ULTRASEEK	ABCi	1/1/08 0:00
NEWRELICPINGER	ABCi	10/1/13 0:00
JOBO/1	ABCi	1/1/08 0:00
SETOOZ/NUTCH	ABCi	7/1/11 0:00
SQUIDER	ABCi	10/1/13 0:00
ENFISH TRACKER	ABCi	1/1/08 0:00
ROGERBOT	ABCi	10/1/13 0:00
APORT	ABCi	1/1/08 0:00
DTAAGENT	ABCi	10/1/13 0:00
UDMSEARCH	ABCi	1/1/08 0:00
RATIONAL SITECHECK	ABCi	1/1/08 0:00
ICHIRO/3	ABCi	7/1/11 0:00
NETRECORDER	ABCi	1/1/08 0:00
WEBEXTRACTOR	ABCi	10/1/08 0:00
XENU	ABCi	10/1/13 0:00
ART-ONLINE.COM	ABCi	10/1/13 0:00
ORACLE+ULTRA+SEARCH	ABCi	10/1/13 0:00
CURIOUS+GEORGE	ABCi	10/1/13 0:00
RABOT	ABCi	1/1/08 0:00
BIRUBOT	ABCi	7/1/11 0:00
MOZILLA/5.0 (COMPATIBLE; TOPIX.NET; HTTP://WWW.TOPIX.NET/TOPIX/NEWSFEEDS)	ABCi	1/1/08 0:00
LINGUEE BOT	ABCi	7/1/13 0:00
LINBOT	ABCi	1/1/08 0:00
RADAR-BOT	ABCi	9/1/12 0:00
GRUB	ABCi	10/1/13 0:00
APACHE-HTTPCLIENT/4.1.1 (JAVA 1.5)	ABCi	10/1/13 0:00
PROXINET	ABCi	1/1/08 0:00
EZOOMS/1.0	ABCi	6/1/11 0:00
CCBOT	ABCi	2/7/10 0:00
GENIEO	ABCi	10/1/13 0:00
INGRID	ABCi	1/1/08 0:00
FILEHOUND	ABCi	1/1/08 0:00
TARANTULA WEB BROWSER	ABCi	9/7/10 0:00
EDITION SEZNAM	ABCi	10/1/13 0:00
IEAUTODISCOVERY	ABCi	10/1/08 0:00
HP OPENVIEW/NETWORK NODE MANAGER	ABCi	1/1/08 0:00
ECHOPING	ABCi	1/1/08 0:00
MINERVA/CRAWL	ABCi	1/1/11 0:00
FREEDOMFROM	ABCi	10/1/13 0:00
NETNEWSBOT	ABCi	2/1/12 0:00
SENSIS WEB CRAWLER	ABCi	1/1/08 0:00
NEWSLEBOT	ABCi	7/1/13 0:00
SURFNOMORE SPIDER	ABCi	1/1/08 0:00
WEBZIP	ABCi	1/1/08 0:00
MICROSOFT BITS	ABCi	10/1/13 0:00
EXTRACTORPRO	ABCi	1/1/08 0:00
OPENFIND	ABCi	1/1/08 0:00
YACYBOT	ABCi	7/1/13 0:00
COOKIEREPORTS	ABCi	10/1/13 0:00
GRAPHICBRAIN.COM	ABCi	1/1/08 0:00
CRAFTBOT	ABCi	1/1/08 0:00
MSRBOT	ABCi	9/7/10 0:00
UNIVERSITY OF BRISTOL PATTERN ANALYSIS GROUP	ABCi	7/1/13 0:00
KTXN	Manual	3/5/08 0:00
DISCOBOT	ABCi	3/1/09 0:00
INTERNETAMI	ABCi	1/1/08 0:00
SITEBOT/0.1	ABCi	1/1/11 0:00
WEBALTA CRAWLER	ABCi	2/7/10 0:00
DOWNTOWN	ABCi	1/1/08 0:00
JAKARTACOMMONS	ABCi	1/1/09 0:00
INFOROVER	ABCi	1/1/08 0:00
INFOLINK	ABCi	1/1/08 0:00
SITEIMPROVE	ABCi	10/1/13 0:00
THUNDERSTONE	ABCi	10/1/13 0:00
NEWS+SEARCH	ABCi	10/1/13 0:00
BUSIVERSEBOT	ABCi	10/1/13 0:00
GOLFFINDIT.COM	ABCi	1/1/08 0:00
FURET	ABCi	1/1/08 0:00
INAGIST+URL+RESOLVER	ABCi	10/1/13 0:00
ISC SYSTEMS IRC SEARCH 2.1	ABCi	1/1/08 0:00
MAPUCCINO	ABCi	1/1/08 0:00
SCOPE PREVIEWBOT	ABCi	7/1/13 0:00
MOZILLA+2.0+(COMPATIBLE;+MSIE+3.02;+UPDATE+A;+WINDOWS+NT)	ABCi	10/1/13 0:00
HOLMES/3.12.4	ABCi	2/1/11 0:00
SHADOWFAX	ABCi	12/1/12 0:00
LINKSWEEPER	ABCi	1/1/08 0:00
NETATTACH	ABCi	1/1/08 0:00
CROWSNEST/	ABCi	10/1/13 0:00
WISECRAWLER	ABCi	1/1/08 0:00
EXABOT/3.0	ABCi	1/1/08 0:00
SWEBOT	ABCi	9/1/12 0:00
ILIAL/NUTCH	ABCi	1/1/08 0:00
LYCOS MONITORING ROBOT	ABCi	1/1/08 0:00
URL_SPIDER_PRO	ABCi	1/1/08 0:00
EMAILSIPHON	ABCi	1/1/08 0:00
CONTEXTAD+BOT	ABCi	10/1/13 0:00
SCHMOZILLA	ABCi	1/1/08 0:00
DIGEXT	ABCi	7/1/11 0:00
LEECHGET	ABCi	1/1/08 0:00
WIKIWIX-BOT	ABCi	7/1/11 0:00
TEOMAAGENT	ABCi	1/1/08 0:00
Y!J-BRI/0.0.1 CRAWLER	ABCi	1/1/11 0:00
PATRIC	ABCi	1/1/08 0:00
TAILSWEEPBLOGCRAWLER	ABCi	2/7/10 0:00
MOZILLA/5.0 (COMPATIBLE; 360I-DATABOT/1.1; +HTTP://WWW.360I.COM/)	ABCi	4/1/11 0:00
DOONDBOT	ABCi	1/1/11 0:00
OUTBRAIN	ABCi	2/7/10 0:00
CYBERDOG	ABCi	1/1/08 0:00
FEEDZILLA	ABCi	10/1/13 0:00
EZ PUBLISH LINK VALIDATOR	ABCi	10/1/13 0:00
LARBIN	ABCi	1/1/08 0:00
CE-PRELOAD	ABCi	8/1/11 0:00
FLETCHER	ABCi	1/1/08 0:00
SOHU	ABCi	10/1/13 0:00
BOOKCRAWLER	ABCi	10/1/13 0:00
NESSUS	ABCi	10/1/13 0:00
SCRAPERWIKI	ABCi	10/1/13 0:00
VCBOT	ABCi	9/1/12 0:00
MATA HARI	ABCi	1/1/08 0:00
TWIBBLE.IO	ABCi	10/1/13 0:00
LIGHTSPEED+SYSTEMS	ABCi	10/1/13 0:00
MSIE 4.0 CRAWLER	ABCi	1/1/08 0:00
NETANTS	ABCi	1/1/08 0:00
FLASHNAVI	ABCi	1/1/08 0:00
PEERINDEX	ABCi	10/1/13 0:00
SPINNE	ABCi	1/1/08 0:00
GIRAFABOT	ABCi	1/1/08 0:00
SPACE BISON	ABCi	10/1/08 0:00
HARVEST	ABCi	1/1/08 0:00
SPIDER	SAS	1/1/98 0:00
PSBOT	ABCi	1/1/08 0:00
WEBCOLLAGE	ABCi	1/1/08 0:00
PHANTOM	ABCi	1/1/08 0:00
NEWSSEARCH	ABCi	10/1/13 0:00
FEEDBOT	ABCi	7/1/13 0:00
STRESS	ABCi	1/1/08 0:00
JANRAIN-LOBSTER	ABCi	10/1/13 0:00
OMNIEXPLORER	ABCi	10/1/13 0:00
GUIDESCRAPER	ABCi	1/1/08 0:00
VERITY	ABCi	1/1/08 0:00
JCA-NET SEARCH RETRIEVER	ABCi	1/1/08 0:00
HTTPUNIT	ABCi	10/1/13 0:00
BSCOPES_AGENT	ABCi	7/1/13 0:00
SWISH-E	ABCi	10/1/08 0:00
PHANTOMJS	ABCi	10/1/13 0:00
WEBVCR	ABCi	1/1/08 0:00
LISA	ABCi	10/1/13 0:00
BLOGPULSELIVE	ABCi	12/1/12 0:00
DILLO	ABCi	1/1/11 0:00
A6-INDEXER	ABCi	10/1/13 0:00
INTERNETSEER	ABCi	1/1/08 0:00
OCELLI/1.3	ABCi	9/7/10 0:00
VOILABOT	ABCi	1/1/08 0:00
BINLAR_2.6.3	ABCi	1/1/11 0:00
GOOGLE PAGE SPEED INSIGHTS	ABCi	10/1/13 0:00
CHANGE+DETECTION	ABCi	1/1/08 0:00
CLIQZBOT	ABCi	10/1/13 0:00
MIZZU LABS 2.2	ABCi	1/1/08 0:00
SCRIBDREADER	ABCi	2/1/12 0:00
SISTRIX CRAWLER	ABCi	9/1/12 0:00
EC2LINKFINDER	ABCi	9/1/12 0:00
C4BOT	ABCi	10/1/13 0:00
LYNX/2.8.4REL.1 LIBWWW-FM/2.14	ABCi	1/1/08 0:00
MONSTER	ABCi	1/1/08 0:00
FISCHER	ABCi	1/1/08 0:00
MOMSPIDER	ABCi	1/1/08 0:00
TYPHOEUS	ABCi	10/1/13 0:00
BLP_BBOT/0.1	ABCi	2/7/10 0:00
ATTENTIO/NUTCH-0.9	ABCi	7/1/11 0:00
GIGABAZ	ABCi	1/1/08 0:00
BDFETCH	ABCi	1/1/11 0:00
NAMOWEBEDITOR	ABCi	1/1/08 0:00
ZANRANCRAWLER	ABCi	2/7/10 0:00
MOZILLA/5.0 (COMPATIBLE; EARTHCOM.INFO/2.1; +HTTP://WWW.EARTHCOM.INFO)	ABCi	1/1/08 0:00
GEOHASHER/NUTCH-1.0	ABCi	1/1/11 0:00
SITE SERVER	ABCi	1/1/08 0:00
APPTUSBOT/1.0	ABCi	6/1/11 0:00
GRAPESHOTCRAWLER	ABCi	10/1/13 0:00
LINKCHECKER	ABCi	1/1/08 0:00
COCCOC/1.0	ABCi	12/1/12 0:00
ENIGMA	ABCi	1/1/08 0:00
SITESNAGGER	ABCi	1/1/08 0:00
MOZILLA/4.0 (COMPATIBLE; MSIE 6.0; WINDOWS NT 4.0; KHTE B336376295A38473T790971)	Manual	3/5/08 0:00
HELP.COCCOC.COM	ABCi	10/1/13 0:00
FETCH API REQUEST	ABCi	1/1/08 0:00
TRENDS CRAWLER	ABCi	2/1/12 0:00
CHECK_HTTP/V2053	ABCi	6/1/09 0:00
SPINN3R.COM/ROBOT	ABCi	1/1/11 0:00
NOVELL WEB SEARCH	ABCi	1/1/08 0:00
T-H-U-N-D-E-R-S-T-O-N-E	ABCi	1/1/08 0:00
CRAWL/0.01 LIBCRAWL/0.3	ABCi	6/1/11 0:00
LITEFINDER	ABCi	10/1/13 0:00
COMBINE	ABCi	1/1/08 0:00
MXBOT	ABCi	2/1/11 0:00
LP_BBOT/0.1	ABCi	9/7/10 0:00
PRICERUNNER	ABCi	10/1/13 0:00
POSTPOST/1.0	ABCi	1/1/11 0:00
AUTOMAPIT	ABCi	10/1/13 0:00
BACONSBOT	ABCi	1/1/08 0:00
SERVERS+ALIVE+URL+CHECK	ABCi	10/1/13 0:00
FLIPBOARDBROWSERPROXY/0.0.5	ABCi	1/1/11 0:00
EZ+PUBLISH+LINK+VALIDATOR	ABCi	10/1/13 0:00
FEEDCHECKER	ABCi	10/1/13 0:00
SAVVYSEARCH	ABCi	1/1/08 0:00
ALERTSITE	ABCi	1/1/08 0:00
UNISTERBOT	ABCi	2/1/12 0:00
NUTSCRAPE	ABCi	1/1/08 0:00
PRODUCTION BOT	ABCi	1/1/08 0:00
JOBO	ABCi	1/1/08 0:00
SNAPBOT/1.0	ABCi	1/1/11 0:00
MIXRANKBOT	ABCi	10/1/13 0:00
HAPAX SPIDER	ABCi	1/1/08 0:00
ABACHOBOT	ABCi	1/1/08 0:00
LINKLINT	ABCi	1/1/08 0:00
REDIFFNEWSBOT	ABCi	2/1/12 0:00
OCELLI/1.4 (HTTP://WWW.GLOBALSPEC.COM/OCELLI)	ABCi	1/1/08 0:00
INSITE	ABCi	1/1/08 0:00
CYBEYE.COM/2.0	ABCi	12/1/12 0:00
WEBPIX 1.0	ABCi	7/1/11 0:00
PRERENDER	ABCi	10/1/13 0:00
EMAILSMARTZ	ABCi	10/1/13 0:00
RATIONAL+SITECHECK	ABCi	10/1/13 0:00
FOREX TRADING NETWORK ORGANIZATION	ABCi	10/1/13 0:00
SPYDER	ABCi	10/1/13 0:00
HTTPGET	ABCi	1/1/08 0:00
FUNNELBACK	ABCi	9/1/12 0:00
GOOGLE-HOTELADSVERIFIER	ABCi	10/1/13 0:00
APACHE-HTTPCLIENT/4.2.2	ABCi	10/1/13 0:00
SJN	ABCi	10/1/13 0:00
ICHIRO/3.0	ABCi	2/7/10 0:00
ROBOT	SAS	1/1/98 0:00
LOCALBOT	ABCi	2/1/12 0:00
GOOGLE WIRELESS TRANSCODER	ABCi	10/1/13 0:00
WEBWILLY	ABCi	1/1/08 0:00
KIWISTATUS	ABCi	8/1/11 0:00
HOUXOUCRAWLER/NUTCH	ABCi	1/1/08 0:00
SITESCOOPER	ABCi	1/1/08 0:00
CGLCONNECTION	ABCi	1/1/08 0:00
MOBIPOCKET WEB COMPANION	ABCi	1/1/09 0:00
SUPERBOT	ABCi	1/1/08 0:00
SOSOSPIDER	ABCi	1/1/09 0:00
INTERNAL+ZERO-KNOWLEDGE+AGENT	ABCi	10/1/13 0:00
TWICELER	ABCi	10/1/13 0:00
NEWS SEARCH	ABCi	1/1/08 0:00
MULTITEXT	ABCi	1/1/08 0:00
PERMANSURFER	ABCi	1/1/08 0:00
AdsBot-Google (+http://www.google.com/adsbot.html)	ABCi	3/1/11 0:00
EZOOMS	ABCi	10/1/13 0:00
POMPOS	ABCi	1/1/08 0:00
URLCHECK	ABCi	1/1/08 0:00
WEBMETRICS	ABCi	10/1/13 0:00
ATOMIC_EMAIL_HUNTER	ABCi	10/1/13 0:00
ROCKMELTEMBEDDER	ABCi	7/1/13 0:00
SITEINTEL.NET BOT	ABCi	9/1/12 0:00
SITECON	ABCi	10/1/13 0:00
MEMOORI/2.0	ABCi	7/1/11 0:00
SEARCHONLY ROBOT	ABCi	1/1/08 0:00
SKREEMRBOT	ABCi	3/1/09 0:00
TERRAWIZBOT	ABCi	10/1/13 0:00
LINKALARM	SAS	1/1/98 0:00
FEED43	ABCi	10/1/13 0:00
RUXITSYNTHETIC	ABCi	10/1/13 0:00
GAIS ROBOT	ABCi	1/1/08 0:00
IM4U	ABCi	1/1/08 0:00
NABOT	ABCi	1/1/08 0:00
WBSEARCHBOT	ABCi	9/1/12 0:00
RPT-HTTP	ABCi	10/1/13 0:00
WEBGRAB	ABCi	10/1/13 0:00
RGANALYTICS	ABCi	9/1/12 0:00
DIALER	ABCi	10/1/13 0:00
SSEARCH_BOT	ABCi	1/1/11 0:00
X-TRACTOR	ABCi	1/1/08 0:00
CRYSTALSEMANTICSBOT	ABCi	7/1/13 0:00
INFOAXE./NUTCH-0.9	ABCi	6/1/11 0:00
TRUE_ROBOT	ABCi	1/1/08 0:00
AGESIC-CRAWLER	ABCi	2/1/12 0:00
CDLWAS_BOT	ABCi	1/1/11 0:00
WEBTRENDS	ABCi	1/1/08 0:00
ABILON	ABCi	10/1/13 0:00
IRLBOT	ABCi	10/1/13 0:00
ABOUTUSBOT	ABCi	6/1/11 0:00
BIXOLABS/1.0	ABCi	1/1/11 0:00
APPNETA+SEQUENCER	ABCi	10/1/13 0:00
BITLYBOT	ABCi	2/1/11 0:00
FLIPBOARDBROWSERPROXY	ABCi	7/1/11 0:00
HTTP://WWW.ACCELOBOT.COM)	ABCi	1/1/08 0:00
WINHTTP-AUTOPROXY-SERVICE	ABCi	10/7/10 0:00
FLAMINGOSEARCH	ABCi	10/1/13 0:00
ALBERTBOT	ABCi	10/1/13 0:00
WEBINDEX	ABCi	1/1/08 0:00
TWISTED PAGEGETTER	ABCi	9/7/10 0:00
SYSTEM+CENTER+OPERATIONS+MANAGER	ABCi	10/1/13 0:00
MS+FRONTPAGE	ABCi	10/1/13 0:00
TRADEMARKTRACKER.COM	ABCi	1/1/08 0:00
EMONITOR	SAS	1/1/98 0:00
ZUMBOT	ABCi	2/1/12 0:00
ASK+JEEVES	ABCi	10/1/13 0:00
HP WEB PRINTSMART	ABCi	1/1/08 0:00
KAVANDE CRAWLER	ABCi	9/1/12 0:00
KOMODIABOT	ABCi	7/1/13 0:00
CHO!	ABCi	1/1/08 0:00
CRAWLY_2.6.3	ABCi	2/7/10 0:00
TSMBOT	ABCi	10/1/13 0:00
MAGENTANEWS/6.0	ABCi	5/1/09 0:00
SCOOTER	SAS	1/1/98 0:00
DOMAINCRAWLER	ABCi	2/1/12 0:00
XCRAWLER	ABCi	1/1/08 0:00
COMODO SSL CHECKER	ABCi	2/1/11 0:00
MS SEARCH	ABCi	1/1/08 0:00
WEBCRAFT	ABCi	1/1/08 0:00
MORNING PAPER	ABCi	1/1/08 0:00
FUSIONBOT	ABCi	1/1/08 0:00
SUKE	ABCi	1/1/08 0:00
HOLMESBOT	ABCi	1/1/11 0:00
COMODO+SSL+CHECKER	ABCi	10/1/13 0:00
DRUPAL	ABCi	2/1/11 0:00
IISBOT/1.0	ABCi	12/1/12 0:00
TOPIX	ABCi	10/1/13 0:00
CRUCIAL+INFORATION+MINER	ABCi	10/1/13 0:00
MOZILLA CRAWL	ABCi	7/1/11 0:00
LEGS	ABCi	1/1/08 0:00
ABOT	ABCi	10/1/13 0:00
WHATUSEEK_WINONA	ABCi	1/1/08 0:00
